Kanji,Rank,Occurrences,Frequency,Cumulative Frequency,cumulative_frequency
建,293,739495,0.0008617257274983,0.6396159238575623,0.6396159238575475
紀,294,737959,0.0008599358428913,0.6404758597004536,0.6404758597004389
競,295,735975,0.0008576239086073,0.641333483609061,0.6413334836090462
由,296,733465,0.0008546990320686,0.6421881826411295,0.6421881826411148
域,297,730656,0.000851425733982,0.6430396083751115,0.6430396083750968
収,298,727876,0.0008481862292897,0.6438877946044013,0.6438877946043865
直,299,726640,0.00084674593152,0.6447345405359213,0.6447345405359065
千,300,725982,0.0008459791710568,0.6455805197069782,0.6455805197069633
向,301,725765,0.0008457263032445,0.6464262460102227,0.6464262460102078
意,302,722433,0.0008418435587716,0.6472680895689943,0.6472680895689794
称,303,714236,0.0008322916810871,0.6481003812500814,0.6481003812500665
官,304,713603,0.0008315540528604,0.6489319353029418,0.6489319353029269
兵,305,706512,0.000823290985316,0.6497552262882579,0.6497552262882429
解,306,706314,0.0008230602580034,0.6505782865462614,0.6505782865462463
備,307,705543,0.0008221618198316,0.651400448366093,0.6514004483660779
説,308,699943,0.0008156361988686,0.6522160845649617,0.6522160845649465
協,309,699605,0.0008152423310319,0.6530313268959937,0.6530313268959784
星,310,694851,0.0008097025449502,0.653841029440944,0.6538410294409286
伝,311,692060,0.0008064502220738,0.6546474796630178,0.6546474796630024
監,312,691739,0.0008060761641579,0.6554535558271758,0.6554535558271604
営,313,688764,0.0008026094280213,0.6562561652551971,0.6562561652551817
統,314,676827,0.0007886993677652,0.6570448646229624,0.6570448646229469
格,315,672694,0.0007838832264366,0.657828747849399,0.6578287478493835
撃,316,672346,0.0007834777057054,0.6586122255551045,0.6586122255550889
他,317,672045,0.0007831269535786,0.6593953525086831,0.6593953525086675
白,318,668271,0.0007787291511654,0.6601740816598485,0.6601740816598329
陸,319,667654,0.00077801016757,0.6609520918274185,0.6609520918274029
葉,320,664895,0.0007747951339563,0.6617268869613748,0.6617268869613592
様,321,662963,0.0007725437947241,0.662499430756099,0.6624994307560833
転,322,662472,0.0007719716376003,0.6632714023936993,0.6632714023936837
